,created,text,location,hashtags,location#
75,2019-10-29 21:30:48,"""Every one of those small improvements to any component in your system architecture will add up. Make enough small… https://t.co/75dCJdbrpQ",,[],0
76,2019-10-29 18:35:35,See a virtual tour of my listing on 10496 Milburn Lane #BocaRaton #FL  #realestate https://t.co/6PHySFFset https://t.co/eIjSYTLyUN,"{'type': 'Point', 'coordinates': [26.3902, -80.2114]}","[Hashtag(Text='BocaRaton'), Hashtag(Text='FL'), Hashtag(Text='realestate')]",0
77,2019-10-29 16:48:22,You realize and appreciate a lot of shit as you get older,,[],0
78,2019-10-29 16:27:02,"@ProMusicRights What’s this , a candidate for your debt portfolio?",,[],0
79,2019-10-29 16:17:24,Caught a glimpse of the new #TurfStrap green technology on #mondaynightfootball ! https://t.co/X9n86e5nW0,,"[Hashtag(Text='TurfStrap'), Hashtag(Text='mondaynightfootball')]",0
80,2019-10-29 15:40:27,See a virtual tour of my listing on 10496 Milburn Lane #BocaRaton #FL  #realestate https://t.co/du5mMrWlc1 https://t.co/74tMS2gZRM,"{'type': 'Point', 'coordinates': [26.3902, -80.2114]}","[Hashtag(Text='BocaRaton'), Hashtag(Text='FL'), Hashtag(Text='realestate')]",0
81,2019-10-29 14:55:04,"For Halloween, I am going as Bill Murray in Osmosis Jones. That is how I am feeling rn. https://t.co/U9OmksyCsE",,[],0
82,2019-10-29 13:29:43,“Hey Big Boy...how’s things here in the Everglades on this fine morning?” 👀 #floridaeverglades @ Florida Everglades https://t.co/OlQUomlEGm,"{'type': 'Point', 'coordinates': [26.437885, -80.61795646]}",[Hashtag(Text='floridaeverglades')],0
83,2019-10-29 13:28:16,"@RepMarkMeadows @realDonaldTrump Wait, what? How can that be? You just broke the law and made fools of yourselves b… https://t.co/EF72KCNftI",,[],0
84,2019-10-29 13:24:38,"“who’s zed?”
“@zedsdead baby” https://t.co/L5MkjrNF12",,[],0
85,2019-10-29 12:29:30,“Art n’ Argument” in Ms. Rubin’s AP Capstone Class! @pbcsd @southPbcsd West Boca High School https://t.co/d873jTHEQu,,[],0
86,2019-10-29 11:40:02,#tuesdaytransformation when your client adds her own spin to the #workout🙌🏼💪🏼#peakhealth360 #fitfam #fitfluencer… https://t.co/aKcTg8Zboj,"{'type': 'Point', 'coordinates': [26.41215, -80.20255]}","[Hashtag(Text='tuesdaytransformation'), Hashtag(Text='workout'), Hashtag(Text='peakhealth360'), Hashtag(Text='fitfam'), Hashtag(Text='fitfluencer')]",0
87,2019-10-29 04:26:15,i love when adobebobe opened for @clairo,,[],0
88,2019-10-29 03:10:06,So perfectly aligned with my grad students thoughts tonight—what’s essential when we deliver interventions with fid… https://t.co/w0huG7FxLO,,[],0
89,2019-10-29 01:35:40,Dogs are so smart https://t.co/ls2LIXKQs1 https://t.co/8M9nIKeCJp,,[],0
90,2019-10-29 01:30:19,"Hey, they changed the Whistle Blower document to fit their crimes so let’s change the Punishment to firing squad to… https://t.co/SbKVY8Hlm5",,[],0
0,2019-10-30 00:01:25,Ilhan Omar’s failure to vote for the Armenian Genocide recognition resolution has everything to do with her respect… https://t.co/9hee1mUcdK,,[],3
1,2019-10-27 21:11:03,Special night at Colonial CC for Jenkins Medal of Excellence in Sportswriting! Celebrated great writing &amp; dear frie… https://t.co/vvz1SBUz2F,,[],3
2,2019-10-31 18:22:27,@MsColleenCarney @AVID4College @CWood_Eagles I heard you visited my little mini today at Crestwood! Fun!,,[],3
3,2019-10-31 18:17:53,"@andylassner Do good. Next year, you should wear a GoPro.",,[],3
0,2019-10-31 16:53:08,"@BeckyLynchWWE that photo  needs  to be a painting.
paging @robschamberger",,[],4
1,2019-10-31 16:47:51,@TheRock What do you not do @TheRock ?,,[],4
2,2019-10-31 15:12:04,@liekk8 @chillout_smo They been popping out all year,,[],4
3,2019-10-31 12:26:20,🤫 @ Julie's &amp; Company https://t.co/GnCjxF5URA,"{'type': 'Point', 'coordinates': [31.5347706, -82.4651674]}",[],4
4,2019-10-31 04:17:58,@soso_cambo Watch out beany😂,,[],4
5,2019-10-31 01:36:56,I must gotta go kidnap him or what 🤔🤷🏽‍♀️,,[],4
6,2019-10-30 21:33:54,I done showered &amp; now I’m in bed!,,[],4
7,2019-10-30 21:33:40,My sister took the girls with her 🙌🏽,,[],4
8,2019-10-30 21:33:19,My feet &amp; back hurt,,[],4
9,2019-10-30 21:33:10,I’m mfn tied 😩,,[],4
10,2019-10-30 14:25:10,Gdm! Have a wonderful Wednesday!! https://t.co/0M2NZdoUsI,"{'type': 'Point', 'coordinates': [31.5445935, -82.5319838]}",[],4
11,2019-10-28 23:51:55,@soso_cambo @TesharraLeann3 So abusive😂,,[],4
12,2019-10-28 16:49:01,"Nervous to apply for a job like ""LEAD SALES ASSOCIATE-PT in BRISTOL, GA"" at Dollar General Corporation? Apply even… https://t.co/iXM78dD9ZZ","{'type': 'Point', 'coordinates': [31.4475482, -82.2155817]}",[],4
13,2019-10-28 16:10:31,"Come in and see us! We have fresh baked bread and homemade cheese spread!!! Stop in and grab a loaf today! ❤🍞🧀

We… https://t.co/ojIfiTqq9B","{'type': 'Point', 'coordinates': [31.5347706, -82.4651674]}",[],4
14,2019-10-28 14:02:50,@jdquinn97 @SummerDay111 Praying bro,,[],4
15,2019-10-28 07:50:36,I cast my Heisman ballot for #JoeBurrow! Click the player you think deserves the Heisman House vote. (📍@NissanUSA),,[Hashtag(Text='JoeBurrow')],4
16,2019-10-28 07:14:05,Go crazy!! https://t.co/7gumiGk6pt,,[],4
17,2019-10-28 07:09:08,Folks be pillow talking still,,[],4
18,2019-10-28 03:31:49,"Love my sweet baby girls 💕💕 #tooprecious #lovelovemygrands #funwweekend #Blocktober @ Alma, Georgia https://t.co/sWHbDYz8QZ","{'type': 'Point', 'coordinates': [31.5415, -82.4667]}","[Hashtag(Text='tooprecious'), Hashtag(Text='lovelovemygrands'), Hashtag(Text='funwweekend'), Hashtag(Text='Blocktober')]",4
0,2019-10-31 15:38:07,@RepAdamSchiff You are such an idiot. And such a liar. You are such a low person.  You are as low as a rattlesnakes… https://t.co/7yYrEIa3kQ,,[],6
1,2019-10-31 14:43:33,@SpeakerPelosi Listen to this ‘ https://t.co/vUFWoOqxIY,,[],6
2,2019-10-31 07:00:35,Just got home from my hair appointment that started at 4 pm 🤣🤷‍♀️,,[],6
3,2019-10-31 06:59:50,"Them bitches who are always liking your mans shit, girl I see you &amp; you better ask somebody about me 🤣🤷‍♀️ I aint the one 🧐",,[],6
4,2019-10-30 22:00:43,"Join the Dollar General Corporation team! See our latest #Retail job openings, including ""STORE MANAGER CANDIDATE"",… https://t.co/rfDWNkrKUV","{'type': 'Point', 'coordinates': [36.7341684, -108.3598009]}",[Hashtag(Text='Retail')],6
5,2019-10-30 07:32:52,i just want some good music and shutdown,,[],6
6,2019-10-30 03:56:25,ohhshhhiii https://t.co/m8FYhZI4X8,,[],6
7,2019-10-30 02:56:29,"We need more, surplus might be beneficial https://t.co/Lcsw5RvQFs",,[],6
8,2019-10-30 02:54:57,Fuck Facebook,,[],6
9,2019-10-29 13:59:10,"Can you recommend anyone for this job? Intermediate Strategic Planning Program Analyst - https://t.co/piY04vcLd7 #Kirtland, NM #Cyber","{'type': 'Point', 'coordinates': [36.7341684, -108.3598009]}","[Hashtag(Text='Kirtland'), Hashtag(Text='Cyber')]",6
10,2019-10-29 07:55:11,"a week with godfather | Kirtland, NM https://t.co/PqMI2SwpyM",,[],6
11,2019-10-29 05:23:44,Pouya keeps tweeting &amp; im seeing his posts about the shows especially on Instagram &amp; bitch I’m still hurt. I NEED t… https://t.co/9rCwKferML,,[],6
