,created,text,location,hashtags,locationcoor
9,2019-10-31 17:25:18,@ABC We have another friend with this disease so I will wear purple on November 21!,,[],"47.134,-119.499,10mi"
10,2019-10-31 17:09:39,@AP_Oddities Good dog!!,,[],"47.134,-119.499,10mi"
11,2019-10-31 17:08:25,@ABC It shows the world that we have a democratic process for dealing with criminals; essential for having world-wide respect.,,[],"47.134,-119.499,10mi"
12,2019-10-31 17:04:34,@PhysicsAndAstr1 I’d be angry taking a bath in a tub when doing it in a lake is more natural!,,[],"47.134,-119.499,10mi"
13,2019-10-31 01:18:24,@Ashleyhiruko Highly recommend “Oscillo” to knock it back!!,,[],"47.134,-119.499,10mi"
14,2019-10-31 01:13:33,@BobGolen I did not vote for him because I believed he was some of what folks said he was... and that was too much for me.,,[],"47.134,-119.499,10mi"
15,2019-10-30 14:58:58,@SpeakerPelosi @redkorpusl1 @VetAffairsDems Sounds like women vets need to stand up and fight -again- and this time… https://t.co/E0ucCLcJ6c,,[],"47.134,-119.499,10mi"
16,2019-10-30 14:55:04,@NikkiKXLY @kxly4news @TeamFairchild Was that fun?,,[],"47.134,-119.499,10mi"
17,2019-10-30 14:54:28,@SethAbramson Why is this surprising?,,[],"47.134,-119.499,10mi"
18,2019-10-30 14:34:42,@WSDOT_East That was supposed to be “tweets”... sorry.😉,,[],"47.134,-119.499,10mi"
19,2019-10-30 14:33:42,@WSDOT_East Don’t bundle up so much you can’t use your turn signal!!!,,[],"47.134,-119.499,10mi"
20,2019-10-30 14:30:24,@TerryRWard Not physically neither!! Headed south next week; bailing on winter!,,[],"47.134,-119.499,10mi"
21,2019-10-30 14:26:51,@NatGeo Intending to see this starry sky in Utah this winter!,,[],"47.134,-119.499,10mi"
22,2019-10-30 14:23:37,@TomHall @AMAZINGNATURE0 Is that a catnip toy?,,[],"47.134,-119.499,10mi"
23,2019-10-30 14:22:32,"I’m with him... I am a patriot, too! https://t.co/D2as47Wz7U",,[],"47.134,-119.499,10mi"
24,2019-10-30 14:16:38,@zemiotik Right,,[],"47.134,-119.499,10mi"
25,2019-10-30 14:13:13,@KREM2 I’ve already had four of them... two made in applesauce that required NO sugar! So yummy!,,[],"47.134,-119.499,10mi"
26,2019-10-30 14:09:21,@WSDOT_East I’ll look for teeets instead; heading south!,,[],"47.134,-119.499,10mi"
27,2019-10-29 17:38:06,@AP_Oddities @AP “Don’t be sad that I’m dead and gone; get high and rejoice!”,,[],"47.134,-119.499,10mi"
28,2019-10-29 17:35:46,@ABC All the tweets by DT are non- factual in essence.,,[],"47.134,-119.499,10mi"
29,2019-10-29 17:34:23,@redkorpusl1 Clearly the Catholic Church sees no barrier between church and state and it is one reason why I do not… https://t.co/I7PYbiDwyy,,[],"47.134,-119.499,10mi"
30,2019-10-29 16:15:24,@TimPhamKREM @KREM2 Biting cold or bitter cold... it’s COLD⛄️,,[],"47.134,-119.499,10mi"
31,2019-10-29 16:11:56,@julesbell27 @redkorpusl1 Great idea!,,[],"47.134,-119.499,10mi"
32,2019-10-29 16:00:57,@rontimes @weatherchannel @PetalumaFD Prayers for them all!!,,[],"47.134,-119.499,10mi"
33,2019-10-29 15:59:51,Bravery comes in all forms... https://t.co/rVALFXqsEZ,,[],"47.134,-119.499,10mi"
34,2019-10-29 15:49:35,@BrianSimsPA Loses...,,[],"47.134,-119.499,10mi"
35,2019-10-29 15:43:52,@DickTracyOrlndo They do get paid; time off sentence and an hourly wage.,,[],"47.134,-119.499,10mi"
36,2019-10-27 23:05:36,Ew imagine being that insecure about your relationship https://t.co/TvF2vE00G0,,[],"47.134,-119.499,10mi"
0,2019-11-04 15:39:30,"@cheymurray The lid to the cornstarch wasn't on all the way, so when I reached into the cabinet to get it, it came… https://t.co/dBv6O9NGZA",,[],"43.147,-115.67,10mi"
1,2019-11-04 14:59:30,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Emergency… https://t.co/CQCbimuRxo","{'type': 'Point', 'coordinates': [43.1329504, -115.6911975]}",[],"43.147,-115.67,10mi"
2,2019-11-04 01:45:43,"Day #3 pheasant, quail #Roosterroadtrip #Benelli #SBEIII #runnomore https://t.co/STOhxrZl8g",,"[Hashtag(Text='Roosterroadtrip'), Hashtag(Text='Benelli'), Hashtag(Text='SBEIII'), Hashtag(Text='runnomore')]","43.147,-115.67,10mi"
3,2019-11-04 00:56:11,@TwinkyArts I love this so incredibly much,,[],"43.147,-115.67,10mi"
4,2019-11-04 00:06:57,So magical to watch https://t.co/kmuRTL92Iy,,[],"43.147,-115.67,10mi"
5,2019-11-04 00:00:56,This! It gives me such good memories of my mom taking me to cons when I was too young to go alone. I am so thankful… https://t.co/HRDHgnxq4u,,[],"43.147,-115.67,10mi"
0,2019-10-31 14:55:24,Just posted a photo @ Paradero “La Cuesta” https://t.co/Js02iVZagz,"{'type': 'Point', 'coordinates': [32.56680561, -115.94404168]}",[],"32.552,-116.026,10mi"
1,2019-10-31 01:41:01,"USGS reports a M1.45 #earthquake 10km WSW of Ocotillo, CA on 10/31/19 @ 1:36:50 UTC https://t.co/PVAI4F8mDa #quake","{'type': 'Point', 'coordinates': [32.6831665, -116.0856705]}","[Hashtag(Text='earthquake'), Hashtag(Text='quake')]","32.552,-116.026,10mi"
2,2019-10-30 21:54:39,Sometimes you forget just how beautiful parts of this earth is. @ Valley Of The Moon https://t.co/KQmkmfcES3,"{'type': 'Point', 'coordinates': [32.64673081, -116.10480306]}",[],"32.552,-116.026,10mi"
0,2019-11-01 22:11:34,I am looking for a buyer on 165 South Center Street #Duchesne #UT  #realestate https://t.co/Odlwr6syKk https://t.co/Z8crandBVR,"{'type': 'Point', 'coordinates': [40.1614485, -110.401684]}","[Hashtag(Text='Duchesne'), Hashtag(Text='UT'), Hashtag(Text='realestate')]","40.205,-110.51,10mi"
1,2019-10-28 17:30:20,See a virtual tour of my listing on 565 N SR 87 #Talmage #UT  #realestate https://t.co/IZWl0ZEVl9 https://t.co/XeRd6i6n2h,"{'type': 'Point', 'coordinates': [40.308605, -110.3766276]}","[Hashtag(Text='Talmage'), Hashtag(Text='UT'), Hashtag(Text='realestate')]","40.205,-110.51,10mi"
0,2019-11-01 20:42:03,"What a Seafood Soup from Holo Kai Chef, Leonel Castillo...Thanks Leonel! @ Camalú, Baja California https://t.co/av7CZD7K9k","{'type': 'Point', 'coordinates': [30.85175912, -116.05764017]}",[],"30.849,-116.029,10mi"
0,2019-11-03 15:38:25,"Found time to explore some ghost towns in the #plumasnationalforest today. Getting there was good fun! 
.
.
#4x4… https://t.co/6Qq1gdc6ub","{'type': 'Point', 'coordinates': [39.6933, -120.844]}","[Hashtag(Text='plumasnationalforest'), Hashtag(Text='4x4')]","39.729,-120.815,10mi"
1,2019-10-31 23:11:57,"#WestFire 🔥 unofficial, automated update.
@USFSPlumas; ~6mi WSW of Johnsville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSE… https://t.co/7Kdc3FYlO7","{'type': 'Point', 'coordinates': [39.72474756, -120.80177292]}",[Hashtag(Text='WestFire')],"39.729,-120.815,10mi"
0,2019-11-04 16:00:30,"@CKnightWrites Helping is not the goal, self-superiority and smugness solely is.",,[],"34.161,-109.76,10mi"
1,2019-11-04 03:24:56,"Seven gowns each $599! IN MOSSY OAK CAMO. 14, 16, 18 , 26. ONE gown in MUDDY GIRL CAMO, Sz 4. These all retail for… https://t.co/gVY5g54zCF","{'type': 'Point', 'coordinates': [34.1419, -109.964]}",[],"34.161,-109.76,10mi"
2,2019-11-03 23:50:49,Lyric Prank Fail 😭😂 https://t.co/QHrxkDLBXH,,[],"34.161,-109.76,10mi"
3,2019-11-03 20:20:54,"Dollar General Corporation is hiring in #PinetopLakeside, AZ! Read about our latest #Transportation job opening via… https://t.co/mJ1aSrAcLv","{'type': 'Point', 'coordinates': [34.1364511, -109.9514072]}","[Hashtag(Text='PinetopLakeside'), Hashtag(Text='Transportation')]","34.161,-109.76,10mi"
4,2019-11-02 20:34:11,Shhheeesh .... Grande Chalupa .... &amp; this was the $6 special .... with Spicy Chorizo !😋😋😋😋 Heaven ! @ Los Corrales… https://t.co/y5yAmWI3MH,"{'type': 'Point', 'coordinates': [34.12754581, -109.94520162]}",[],"34.161,-109.76,10mi"
5,2019-11-02 19:24:53,@TeamBagshaw Thank you! I enjoy the cold 🥶,,[],"34.161,-109.76,10mi"
0,2019-11-04 16:18:56,What’s the brokest thing you’ve ever done?,,[],"32.529,-95.839,10mi"
1,2019-11-04 15:36:34,"Never putting my self in this type of predicament, but NEVER going to be in it either ‼️💯 RISE ABOVE the situation",,[],"32.529,-95.839,10mi"
2,2019-11-04 15:25:42,I just want to succeed,,[],"32.529,-95.839,10mi"
3,2019-11-04 15:21:51,Wake and bake or sum shit like that,,[],"32.529,-95.839,10mi"
4,2019-11-04 15:15:25,Someone get an apartment with me in Greenville :),,[],"32.529,-95.839,10mi"
5,2019-11-04 13:00:07,I wanna hold you high and steal your pain away,,[],"32.529,-95.839,10mi"
6,2019-11-04 12:54:18,Me after arguing with my man for 45 mins about how I didn’t want fast food https://t.co/KzexAnxhUd,,[],"32.529,-95.839,10mi"
7,2019-11-04 12:19:55,idk what’s up with me and 9:30 but apparently that’s my new bedtime,,[],"32.529,-95.839,10mi"
8,2019-11-04 06:03:08,Meredith from The Office is on Dancing With The Stars and I..... cant stop laughing https://t.co/QmYr56n597,,[],"32.529,-95.839,10mi"
0,2019-11-03 22:09:50,@realDonaldTrump OMFG get the fuck over your self absorbed narcissistic self!!!,,[],"38.334,-112.509,10mi"
1,2019-11-01 15:36:48,"The hills are good for you! Still, they seem to really take their toll. Happy Friday! #5kF 
#ExceedTheCouch… https://t.co/3ZGZGGVAKe","{'type': 'Point', 'coordinates': [38.27268854, -112.5]}","[Hashtag(Text='5kF'), Hashtag(Text='ExceedTheCouch')]","38.334,-112.509,10mi"
2,2019-10-31 20:44:18,"#SkullFlat2Fire 🔥 unofficial, automated update.
~7mi ENE of Beaver, UT. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See off… https://t.co/BLX0Bx63Az","{'type': 'Point', 'coordinates': [38.31653786, -112.50273894]}",[Hashtag(Text='SkullFlat2Fire')],"38.334,-112.509,10mi"
3,2019-10-31 18:53:37,"Happy Halloween!
#happyhalloween🎃👻 @ The Gibson House https://t.co/AcFtiaiGe4","{'type': 'Point', 'coordinates': [38.27268854, -112.5]}",[Hashtag(Text='happyhalloween')],"38.334,-112.509,10mi"
4,2019-10-31 16:29:55,"Happy Halloween! Just a short go this morning, too much on my plate.
#happyhalloween🎃👻 
#RunHappy #RunStronger… https://t.co/qN2GvWrqZc","{'type': 'Point', 'coordinates': [38.27268854, -112.5]}","[Hashtag(Text='happyhalloween'), Hashtag(Text='RunHappy'), Hashtag(Text='RunStronger')]","38.334,-112.509,10mi"
5,2019-10-30 19:04:56,"25° now is a far cry better than the 11° at 7 this morning... Still, I forget how much the cold air affects my abil… https://t.co/K7zhlEvU5I","{'type': 'Point', 'coordinates': [38.27268854, -112.5]}",[],"38.334,-112.509,10mi"
6,2019-10-30 03:48:29,The string of victims is getting longer... @ The Gibson House https://t.co/yCcIRid6CU,"{'type': 'Point', 'coordinates': [38.27268854, -112.5]}",[],"38.334,-112.509,10mi"
7,2019-10-28 14:43:42,"Ran home after dropping the car off at the mechanic... All up hill, slow climb.
#RunHappy #RunStronger… https://t.co/rflF1twJBj","{'type': 'Point', 'coordinates': [38.27268854, -112.5]}","[Hashtag(Text='RunHappy'), Hashtag(Text='RunStronger')]","38.334,-112.509,10mi"
8,2019-10-28 04:47:53,Just posted a photo @ The Gibson House https://t.co/6lIg3q6LoT,"{'type': 'Point', 'coordinates': [38.27268854, -112.5]}",[],"38.334,-112.509,10mi"
9,2019-10-27 18:06:51,Just posted a photo @ The Gibson House https://t.co/zmcaAsQxJI,"{'type': 'Point', 'coordinates': [38.27268854, -112.5]}",[],"38.334,-112.509,10mi"
10,2019-10-26 23:58:26,"SUU Hall of Fame class of 2019; Coach Jack Bishop, all-american gymnist Cindy Peterson, golf stand out Zach Johnson… https://t.co/VSL6vvGwOc",,[],"38.334,-112.509,10mi"
11,2019-10-26 23:50:48,"Complete game! 10 point dog at home, keep it going at MSU! https://t.co/9jO0GHDRRm",,[],"38.334,-112.509,10mi"
12,2019-10-26 23:08:36,Probably not the best idea before a 3 hour drive https://t.co/oZoqxKg8Zm,,[],"38.334,-112.509,10mi"
0,2019-11-04 02:02:29,I thought it was really late and I put my kids to sleep at 6:30 because it was 8:30 already.,,[],"31.374,-96.926,10mi"
0,2019-11-04 14:19:50,"#RanchFire 🔥 unofficial, automated update.
~9mi WNW of Rancho Tehama Reserve, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES… https://t.co/Pg43dJXY1f","{'type': 'Point', 'coordinates': [40.04015354, -122.60932836]}",[Hashtag(Text='RanchFire')],"40.072,-122.649,10mi"
